Time, N1, N2, EGT1, EGT2, Fuel Level, Fuel Flow
2024-12-27-19:32:58.413, 8350, 8350, 20, 20, 19998.2, 4.175
2024-12-27-19:32:58.418, 8400, 8400, 20, 20, 19998.2, 4.2
2024-12-27-19:32:58.423, 8450, 8450, 20, 20, 19998.2, 4.225
2024-12-27-19:32:58.428, 8500, 8500, 20, 20, 19998.2, 4.25
2024-12-27-19:32:58.433, 8550, 8550, 20, 20, 19998.2, 4.275
2024-12-27-19:32:58.438, 8600, 8600, 20, 20, 19998.1, 4.3
2024-12-27-19:32:58.443, 8650, 8650, 20, 20, 19998.1, 4.325
2024-12-27-19:32:58.448, 8700, 8700, 20, 20, 19998.1, 4.35
2024-12-27-19:32:58.453, 8750, 8750, 20, 20, 19998.1, 4.375
2024-12-27-19:32:58.458, 8800, 8800, 20, 20, 19998.1, 4.4
2024-12-27-19:32:58.463, 8850, 8850, 20, 20, 19998, 4.425
2024-12-27-19:32:58.468, 8900, 8900, 20, 20, 19998, 4.45
2024-12-27-19:32:58.473, 8950, 8950, 20, 20, 19998, 4.475
2024-12-27-19:32:58.478, 9000, 9000, 20, 20, 19998, 4.5
2024-12-27-19:32:58.483, 9050, 9050, 20, 20, 19997.9, 4.525
2024-12-27-19:32:58.488, 9100, 9100, 20, 20, 19997.9, 4.55
2024-12-27-19:32:58.493, 9150, 9150, 20, 20, 19997.9, 4.575
2024-12-27-19:32:58.498, 9200, 9200, 20, 20, 19997.9, 4.6
2024-12-27-19:32:58.503, 9250, 9250, 20, 20, 19997.8, 4.625
2024-12-27-19:32:58.508, 9300, 9300, 20, 20, 19997.8, 4.65
2024-12-27-19:32:58.513, 9350, 9350, 20, 20, 19997.8, 4.675
2024-12-27-19:32:58.518, 9400, 9400, 20, 20, 19997.8, 4.7
2024-12-27-19:32:58.523, 9450, 9450, 20, 20, 19997.8, 4.725
2024-12-27-19:32:58.528, 9500, 9500, 20, 20, 19997.7, 4.75
2024-12-27-19:32:58.533, 9550, 9550, 20, 20, 19997.7, 4.775
2024-12-27-19:32:58.538, 9600, 9600, 20, 20, 19997.7, 4.8
2024-12-27-19:32:58.543, 9650, 9650, 20, 20, 19997.7, 4.825
2024-12-27-19:32:58.548, 9700, 9700, 20, 20, 19997.6, 4.85
2024-12-27-19:32:58.553, 9750, 9750, 20, 20, 19997.6, 4.875
2024-12-27-19:32:58.558, 9800, 9800, 20, 20, 19997.6, 4.9
2024-12-27-19:32:58.563, 9850, 9850, 20, 20, 19997.6, 4.925
2024-12-27-19:32:58.568, 9900, 9900, 20, 20, 19997.5, 4.95
2024-12-27-19:32:58.573, 9950, 9950, 20, 20, 19997.5, 4.975
2024-12-27-19:32:58.578, 10000, 10000, 20, 20, 19997.5, 5
2024-12-27-19:32:58.583, 10050, 10050, 20, 20, 19997.5, 5.025
2024-12-27-19:32:58.588, 10100, 10100, 20, 20, 19997.4, 5.05
2024-12-27-19:32:58.593, 10150, 10150, 20, 20, 19997.4, 5.075
